姓名,生日,aka,性別,職業,婚姻狀態
應朗丰,1970-10-24,小應、夾子小應、水蛙,M,男歌手,2
謝炘昊,1978-06-12,謝炘昊,M,男艺人,1
陳秉立,1981-03-09,陳秉立,M,男艺人,1
陳建州,1977-05-02,黑人,M,男艺人,1
姚可傑,1967-10-25,搖滾教主、傑哥,M,男歌手,1
陳昇,1958-10-29,陳志昇,M,男艺人,1
黃連煜,1960-08-14,None,M,男歌手,0
吳永吉,1970-10-19,阿吉、吉董,M,男歌手,1
郭世倫,1978-03-06,郭世倫,M,男艺人,2
乱彈阿翔,1970-12-17,陳泰翔,M,男歌手,2
安苡葳,1979-04-09,大芭,F,女艺人,0
鄧詠家,1984-05-12,鄧玉賢,F,女歌手,0
Aljenljeng,1981-08-25,Aljenljeng Tjaluvie,F,女艺人,1
信,1971-05-14,蘇見信,M,男歌手,0
邱凱偉,1976-12-18,李杰,M,男艺人,1
吳宗憲,1962-09-26,憲哥、本土天王、綜藝天王、憲憲,M,男艺人,1
小馬,1973-08-20,"倪志強（改名前）
倪子鈞（現名）",M,男艺人,1
小鐘,1971-12-16,鐘昀呈,M,男艺人,0
劉畊宏,1972-10-07,None,M,男艺人,1
況明潔,1966-11-26,況明潔,F,女艺人,1
黄雅珉,1965-07-02,黄雅珉,F,女艺人,0
張克帆,1972-07-31,唱將,M,男艺人,1
张静懿,1968-07-02,None,F,女演员,0
丁柔安,1970-08-07,None,F,女艺人,1
李英宏,1986-07-06,None,M,男歌手,0
辰亦儒,1980-11-10,陳奕儒,M,男艺人,1
炎亞綸,1985-11-20,吳庚霖,M,男艺人,0
吳尊,1979-10-10,吳吉尊,M,男艺人,1
區永權,1973-04-21,阿權、區爸,None,节目主持,1
徐繼宗,1975-05-19,None,None,音乐家,0
金智娟,1964-10-04,金智娟,F,女歌手,1
賴銘偉,1984-06-25,賴銘偉,M,男歌手,0
黃美珍Huang,1983-01-19,黃美珍,F,女歌手,1
林昶佐,1976-02-01,None,None,None,1
葉湘怡,1977-09-19,葉湘怡,F,女艺人,1
光良,1970-08-30,王光良,M,男歌手,0
品冠,1972-02-26,黃品冠,M,男歌手,1
勇兔,1990-08-05,林筳諭,F,女艺人,0
周宜霈,1984-10-21,周宜霈,F,女艺人,1
郭婕祈,1985-08-16,郭婕祈,F,女艺人,0
張甯兒,1991-07-25,張甯兒,F,女艺人,0
黃暐婷,1984-03-28,黃暐婷,F,女艺人,0
小蠻,1989-11-07,王承嫣,F,女艺人,1
吳映潔,1989-08-11,鬼鬼,F,女艺人,0
貝童彤,1986-12-10,蔡玓彤,F,女艺人,1
張子庭,1985-09-23,紅豆、艾蘋、子庭、庭庭、活力美眉,F,女艺人,1
詹晴,1988-04-11,詹子晴,F,女艺人,1
小薰,1989-02-27,黃瀞怡,F,女演员,0
柯仁堅,1970-12-05,小柯，柯董，黑金,M,男歌手,0
錦雯,1972-06-17,黃錦雯,F,女艺人,1
于子育,1970-07-19,于子育,F,女艺人,0
林志炫,1966-07-06,原唱殺手、紙片人、美聲王子、中古歌王、絕世名刃、秒殺原唱-翻唱之王、 林四歲,M,男歌手,1
馬念先,1973-02-08,馬尿、馬拉桑,M,男艺人,1
謝馨儀,1982-04-16,馨儀、香人、139女神、壯壯、香我,None,音乐家,1
劉家凱,1982-02-05,家凱、凱開、漂釀宝贝,None,音乐家,1
龔鈺祺,1980-12-16,阿龔、金八、龔爺,None,音乐家,0
史俊威,1979-08-26,小威,None,音乐家,1
何景揚,1982-04-04,阿福、可田,None,音乐家,1
莊鵑瑛,1985-02-28,莊小球、阿球、莊三歲、莊尖瑛,F,女艺人,0
江奇霖,1985-04-02,七零,M,男艺人,1
郭靜,1980-08-05,郭伯瑜,F,女歌手,0
曾靜玟,1993-08-18,原子小金剛、淚眼魔王,F,女歌手,0
曾沛慈,1984-10-21,國民姐姐、傻妹、暖心小天后、終極女神,F,女艺人,1
胡宇威George,1982-07-24,宇威哥、彎道Boy、魔關羽、胡六歲、啾吉,M,男艺人,1
班傑,1982-05-20,王宏文,M,男演员,1
邵翔,1982-04-07,李紹祥,M,男演员,1
羅宏正,1989-07-26,羅弘証,M,男艺人,0
林曜晟,1987-08-27,林伯彥,M,男艺人,0
阿本,1982-06-11,翁瑞迪,M,男艺人,0
劉祿存,1987-02-02,劉祿存,M,男艺人,0
韋佳宏,1990-09-10,韋佳宏,M,男艺人,0
簡翔,1983-07-08,簡翔棋,M,男艺人,1
吳俊諺,1989-09-19,吳俊諺,M,男艺人,1
梁赫群,1971-12-04,梁赫群,None,节目主持,1
